Item,Inventory,MRP,Sales,Weekly Sale,Success Rate (%),Item_Type
FDA15,152,249.8092,70,933.7845,46.05263158,Dairy
DRC01,485,48.2692,139,110.8557,28.65979381,Soft Drinks
FDN15,398,141.618,64,524.3175,16.08040201,Meat
FDX07,320,182.095,106,183.095,33.125,Fruits and Vegetables
NCD19,156,53.8614,89,248.6763,57.05128205,Household
FDP36,121,51.4008,96,139.1522,79.33884298,Baking Goods
FDO10,238,57.6588,47,85.8882,19.74789916,Snack Foods
FDP10,70,107.7622,64,1005.6909,91.42857143,Snack Foods
FDH17,152,96.9726,87,269.14965,57.23684211,Frozen Foods
FDU28,171,187.8214,166,1177.63375,97.07602339,Frozen Foods
FDY07,264,45.5402,163,379.00665,61.74242424,Fruits and Vegetables
FDA03,380,144.1102,44,546.78825,11.57894737,Dairy
FDX32,137,145.4786,88,397.31615,64.23357664,Fruits and Vegetables
FDS46,422,119.6782,76,536.3019,18.00947867,Snack Foods
FDF32,149,196.4426,96,494.3565,64.4295302,Fruits and Vegetables
FDP49,409,56.3614,43,386.8298,10.51344743,Breakfast
NCB42,201,115.3492,106,405.4722,52.73631841,Health and Hygiene
FDP49,180,54.3614,178,179.59955,98.88888889,Breakfast
DRI11,199,113.2834,178,575.917,89.44723618,Hard Drinks
FDU02,358,230.5352,160,687.1056,44.69273743,Dairy
FDN22,307,250.8724,80,943.7715,26.05863192,Snack Foods
FDW12,393,144.5444,12,1016.0108,3.053435115,Baking Goods
NCB30,463,196.5084,323,396.8168,69.76241901,Household
FDC37,343,107.6938,41,53.5969,11.95335277,Baking Goods
FDR28,435,165.021,296,1019.50625,68.04597701,Frozen Foods
NCD06,241,45.906,91,209.727,37.7593361,Household
FDV10,493,42.3112,52,266.32,10.54766734,Snack Foods
DRJ59,326,39.1164,114,77.2328,34.96932515,Hard Drinks
FDE51,210,45.5086,10,44.6086,4.761904762,Dairy
FDC14,363,43.6454,70,31.45905,19.28374656,Canned
FDV38,71,55.7956,23,40.9467,32.3943662,Dairy
NCS17,302,96.4436,189,685.4411,62.58278146,Health and Hygiene
FDP33,285,256.6672,233,767.0016,81.75438596,Snack Foods
FDO23,394,93.1436,15,543.6257,3.807106599,Breads
DRH01,98,174.8738,19,521.3214,19.3877551,Soft Drinks
NCX29,108,146.7102,80,947.7663,74.07407407,Health and Hygiene
FDV20,219,128.0678,99,699.4229,45.20547945,Fruits and Vegetables
DRZ11,237,122.5388,235,402.4761,99.15611814,Soft Drinks
FDX10,320,36.9874,167,97.04035,52.1875,Snack Foods
FDB34,239,87.6198,237,545.12375,99.16317992,Snack Foods
FDU02,495,230.6352,414,858.882,83.63636364,Dairy
FDK43,224,126.002,135,537.6335,60.26785714,Meat
FDA46,495,192.9136,453,631.8442,91.51515152,Snack Foods
FDC02,100,259.9278,90,1692.1307,90,Canned
FDL50,413,126.5046,106,93.37845,25.66585956,Canned
FDM39,104,178.1002,83,89.5501,79.80769231,Dairy
NCP05,293,153.3024,124,607.2096,42.32081911,Health and Hygiene
FDV49,369,265.2226,200,1453.7743,54.20054201,Canned
FDL12,180,60.622,179,644.1615,99.44444444,Baking Goods
FDS02,356,196.8794,316,195.0794,88.76404494,Dairy
NCL17,184,143.8812,65,783.6466,35.32608696,Health and Hygiene
FDM40,70,141.5154,25,212.7231,35.71428571,Frozen Foods
FDR13,378,117.0492,50,202.7361,13.22751323,Canned
FDA43,216,196.3794,41,780.3176,18.98148148,Fruits and Vegetables
NCP18,323,151.4708,24,1203.7664,7.430340557,Household
FDK21,437,249.0408,71,1564.63,16.24713959,Snack Foods
NCX54,138,106.1622,36,529.311,26.08695652,Household
DRK35,365,38.0506,293,199.24065,80.2739726,Hard Drinks
FDY21,63,194.511,26,1227.56875,41.26984127,Snack Foods
FDI26,291,180.0344,196,223.043,67.35395189,Canned
FDM20,314,246.9144,139,796.2968,44.26751592,Fruits and Vegetables
FDV27,395,87.3514,136,265.6542,34.43037975,Meat
FDF09,102,38.2848,45,121.1756,44.11764706,Fruits and Vegetables
FDY40,435,51.0692,123,36.9519,28.27586207,Frozen Foods
FDY45,389,255.8356,208,635.839,53.47043702,Snack Foods
FDC46,141,185.4266,22,46.10665,15.60283688,Snack Foods
FDH19,416,172.5738,280,1216.4166,67.30769231,Meat
FDZ03,493,186.024,98,279.636,19.87829615,Dairy
DRH37,477,164.8526,224,575.5841,46.96016771,Soft Drinks
NCI17,313,95.841,287,506.84025,91.69329073,Health and Hygiene
FDJ58,480,170.1764,456,858.882,95,Snack Foods
FDL12,84,59.222,83,149.805,98.80952381,Baking Goods
FDH35,255,164.7526,34,1151.1682,13.33333333,Starchy Foods
FDG02,130,189.6188,110,571.2564,84.61538462,Canned
NCZ18,469,254.3698,185,1395.1839,39.445629,Household
FDC29,99,114.0176,52,572.588,52.52525253,Frozen Foods
FDQ10,409,172.3422,126,301.77385,30.80684597,Snack Foods
FDN48,437,89.9804,175,160.7907,40.04576659,Baking Goods
FDL04,51,104.9622,50,396.98325,98.03921569,Frozen Foods
FDV25,439,222.5456,438,1326.2736,99.77220957,Canned
FDD58,103,101.87,97,424.4475,94.17475728,Snack Foods
FDN04,155,180.3344,119,356.8688,76.77419355,Frozen Foods
FDV45,309,187.9556,129,1173.4725,41.74757282,Snack Foods
NCL18,359,194.6136,106,145.8102,29.5264624,Household
FDR12,240,171.3764,154,772.9938,64.16666667,Baking Goods
FDG20,451,177.0028,225,619.8598,49.88913525,Fruits and Vegetables
FDZ55,267,160.992,238,679.116,89.13857678,Fruits and Vegetables
FDQ49,93,155.963,66,821.43075,70.96774194,Breakfast
FDN33,211,95.6436,139,165.4513,65.87677725,Snack Foods
FDN27,251,117.2808,105,380.8376,41.83266932,Meat
FDW20,495,122.173,386,92.37975,77.97979798,Fruits and Vegetables
DRG27,319,39.9138,146,172.60865,45.76802508,Dairy
DRI25,400,55.1614,333,345.38375,83.25,Soft Drinks
FDA44,353,57.893,346,155.63075,98.01699717,Fruits and Vegetables
NCR17,320,114.5492,282,318.5853,88.125,Health and Hygiene
FDU04,264,120.0414,126,121.8414,47.72727273,Frozen Foods
FDF41,301,246.046,103,307.9325,34.2192691,Frozen Foods
FDB56,239,187.4556,177,938.778,74.05857741,Fruits and Vegetables
NCP18,345,149.9708,212,1090.9133,61.44927536,Household
